Lantern in Iran

Q1. آیا فیلترشکن Lantern را روی موبایل یا کامپیوتر خود دارید؟
Answer Choices,Response Percent,Responses
بله,97.59%,8032
خیر,2.41%,198
,Answered,8230
,Skipped,118


Q2. تجربه شما در سه ماه گذشته از وصل شدن به فیلترشکن Lantern چه بوده است؟
Answer Choices,Response Percent,Responses
همیشه خوب و به آسانی وصل شده است,26.28%,1816
گاهی وصل شده است,50.71%,3504
به ندرت وصل شده است,18.48%,1277
به هیچ وجه وصل نشده است,4.25%,294
امتحان نکردم,0.27%,19
,Answered,6910
,Skipped,1438


Q3. شما از کدام سرویس‌دهنده اینترنت استفاده می‌کنید؟
Answer Choices,Response Percent,Responses
ایرانسل,41.75%,2924
همراه اول,24.78%,1735
سیم کارت شاتل,0.56%,39
رایتل,4.58%,321
شاتل (ADSL),5.5%,385
آسیاتک,1.31%,92
های وب,0.83%,58
پارس آنلاین,1.26%,88
شرکت مخابرات,13.95%,977
صبانت,0.21%,15
سایر موارد (لطفاً تعیین کنید),5.27%,369
,Answered,7003
,Skipped,1345


Q4. از چه دستگاهی معمولا برای وصل شدن به اینترنت و وفیلترشکن استفاده می‌کنید؟
Answer Choices,Response Percent,Responses
Windows,7.48%,511
iOS/iPad,0.89%,61
macOS,0.19%,13
Linux,0.37%,25
Android,89.57%,6116
سایر موارد (لطفاً تعیین کنید),1.49%,102
,Answered,6828
,Skipped,1520


Q5. چطور فایل نصب لنترن را روی دستگاه خود دانلود کرده‌اید؟
Answer Choices,Response Percent,Responses
اپ استورها (مثل گوگل پلی، اپ استور اپل و ...),46.0%,3176
دوستی فایل را با من با اشتراک گذاشت,29.91%,2065
کانال‌های تلگرامی,5.82%,402
سایت رسمی لنترن,7.28%,503
سایتهای متفرقه ایرانی,1.81%,125
به یاد نمی‌آورم,7.69%,531
سایر موارد (لطفاً تعیین کنید),1.49%,103
,Answered,6905
,Skipped,1443


Q6. شما معمولا چطور به اینترنت بدون فیلتر وصل می‌شوید؟
Answer Choices,Response Percent,Responses
چند فیلترشکن رایگان را تست میکنم تا یکی وصل شود و لنترن یکی از آنهاست!,83.68%,3734
